greek,english
απαλό,soft
απάντηση,answer
απαραίτητο,essential
απέναντι,across
απεργία,strike
άπληστο,greed
απλό,simple
απλώνω,spread
από,from
από,from
από,from
από,from
από,from
απόγευμα,afternoon
απογοήτευση,disappointment
απόδειξη,evidence
απόθεμα,reserve
αποκαλύπτω,disclose
αποκάλυψη,Revelation
αποκλειστικά,exclusively
αποκτάω,gain
απομεινάρι,remnant
απόν,abstinence
απορρίπτω,reject
απορροφάω,absorb
απόσταση,distance
αποτέλεσμα,result
αποτελούμαι,consist
αποτελώ,make up
απότομο,steep
αποτυγχάνω,fail
αποφασίζω,decide
αποφεύγω,avoid
απωθώ,repel
αραιό,dilute
αράχνη,spider
αργία,public holiday
αργό,argon
αρέσω,like
άρθρο,article
άρθρωση,joint
αριθμός,number
αριστερό,left
αρκετά,enough
αρκούδα,bear
αρμονία,harmony
αρνητικό,negative
αρνί,lamb
αρνούμαι,refuse
αρρώστεια,illness
αρσενικό,male
αρχείο,file
αρχείο,file
αρχέτυπο,archetype
αρχή,principle
αρχηγός,chief
αρχίζω,start
άρωμα,Perfume
ασήμι,silver
ασθένεια,disease
άσκηση,excercise
ασπίδα,shield
άσπρο,White
ασσανσέρ,lust
αστέρι,star
αστακός,lobster
αστείο,funny
αστραπή,lightning
αστυνομία,police
ασφάλεια,security
ασφάλιση,insurance
άσχημο,ugly
ατμός,steam
άτομο,atom
ατσάλι,steel
αυγή,dawn
αυλάκι,channel
αυξάνω,increase
αύριο,tomorrow
αυτή,she
αυτί,ear
αυτοκίνητο,car
αυτό,this
αυτό,this
αυτόματο,automatic
αυτός,he
αυτόχθον,indigenous
αυχένας,neck
αφαιρώ,remove
αφήνω,leave
αφρός,foam
αχλή,fool
αχρηστεύω,unuse
αψίδα,arch
βαγόνι,wagon
βάζο,vase
βάζω,I put
βαθμός,degree
βάθος,depth
βαθούλωμα,dent
βαθυστόχαστο,profanity
βαθύ,deep
βαλανιδιά,oak
βαλβίδα,valve
βάλτος,swamp
βαμβάκι,cotton
βαρέλι,barrel
βαρετό,boring
βάρκα,boat
βάρος,weight
βαρύ,heavy
βαρύτητα,gravity
βάση,base
βασίζομαι,rely
βασίλισσα,queen
βασανίζω,obsess
βασικό,basic
βασιλιάς,king
βατόμουρο,raspberry
βάτραχος,frog
βέβαιο,sure
βελόνα,needle
βέλος,arrow
βέργα,rod
βία,violence
βιάζομαι,hurry
βιάζω,rape
βίαιο,violent
βιβλίο,book
βιβλιοθήκη,library
βίδα,screw
βιώνω,experience
βλάκας,fool
βλέπω,I see
βλέφαρο,eyelid
βλαστός,shoot
βοηθάω,help
βοηθητικό,auxiliary
βόμβα,bomb
βορράς,north
βουλή,parliament
βουνό,Mountain
βούλωμα,cork
βούρτσα,brush
βούτυρο,butter
βράδυ,night
βράζω,boil
βράχος,rock
βρίσκω,find
βραβείο,prize
βροντή,thunder
βροχή,rain
βρόμη,oats
βρώμικο,dirty
βυθίζω,immerse
γάιδαρος,donkey
γάλα,milk
γαλοπούλα,turkey
γάμος,Marriage
γάντι,glove
γάτα,cat
γεγονός,fact
γελάω,I'm laughing
γεμάτο,Filled
γενειάδα,beard
γενικό,general
γενναιόδωρο,generous
γέννηση,birth
γένος,genus
γέρικο,old man
γέρος,old man
γεύομαι,taste
γεύση,taste
γέφυρα,bridge
γη,Earth
για,for
γιακάς,collar
γιατί,why
γιγαντιαίο,gigantic
γίνομαι,become
γιός,son
γκρίζο,gray
γκρεμός,Cliff
γλιστράω,slip
γλουτός,buttock
γλυκό,dessert
γλυκό,dessert
γλώσσα,language
γνώμη,opinion
γνωρίζω,I am aware
γνώση,knowledge
γόνατο,knee
γονέας,parent
γονίδιο,gene
γόνιμο,fertility
γουρούνι,pig
γοφός,hip
γράμμα,letter
γράφω,I am writing
γρήγορα,quickly
γραβάτα,tie
γραμμή,line
γραμματική,grammar
γρανάζι,gear
γρασίδι,grass
γρατζουνιά,scratch
γραφίδα,stylus
γριά,old woman
γροθιά,punch
γυαλί,glass
γυαλιά,glasses
γυμναστική,gymnastics
γυμνό,nude
γυναίκα,woman
γυρίζω,turn
γύρω,round
γωνία,corner
δαγκώνω,bite
δάκρυ,tears
δακτύλιος,ring
δαμάσκηνο,plum
δανείζομαι,borrow
δανείζω,lend
δάσος,Forest
δάχτυλο,finger
δείγμα,sample
δειλινό,Delho
δείχνω,I show
δελεάζω,allure
δέκα,ten
δέμα,package
δέμα,package
δεν,not
δέντρο,tree
δένω,truss
δεξιό,right
δέρμα,skin
δευτερόλεπτο,second
δέχομαι,I accept
δηλητήριο,poison
δημιουργώ,create
δημόσιο,public
διά,for
διαβάζω,I'm studying
διάβρωση,corrosion
διάγραμμα,chart
διαγώνιο,diagonal
διαδικασία,procedure
διαθέτω,have
διαιρώ,divide
διαιτητής,referee
διαλέγω,choose
διαλύω,dissolve
διαμαρτυρία,protest
διάρκεια,duration
διάσημο,famous
διαστέλλομαι,dilate
διάστημα,space
διατηρώ,Keep
διαφήμιση,advertising
διαφορετικό,different
διδάσκω,I teach
διεθνές,international
διευρυμένο,expanded
διεύθυνση,address
διεύθυνση,address
διήγημα,story
δίκαιο,fair enough
δικαίωμα,right
δικαστήριο,court
δίκη,trial
δικτάτορας,dictator
δίνω,I give
διορθώνω,correct
διπλώνω,fold
δίσκος,disc
διστάζω,hesitate
δίχτυ,net
δοκιμάζω,test
δόντι,tooth
δορυφόρος,satellite
δουλειά,work
δοχείο,container
δράκος,dragon
δραστηριότητα,activity
δρόμος,road
δύναμη,power
δυνατό,possible
δύο,two
δύση,West
δυσκολία,difficulty
δύσκολο,difficult
δυστύχημα,accident
δωμάτιο,room
εβδομάδα,week
εγγραφή,sign up
έγγραφο,document
έγκαιρο,timely
έγκλημα,crime
εγκρίνω,approve
εγώ,I
εδώ,here
έθνος,nation
ειδικό,special
είδος,kind
είδος,kind
εικόνα,image
είμαι,I am
ειρήνη,Irene
εις,in
εισιτήριο,ticket
εκατομμύριο,million
εκατό,a hundred
εκδίκηση,revenge
έκδοση,version
εκεί,there
εκείνο,that
εκκλησία,church
εκλέγω,elect
έκλειψη,eclipse
εκπέμπω,emit
εκρήγνυμαι,erupt
εκστρατεία,campaign
εκτρέπω,divert
εκτός,except
εκτός,except
ελαστικό,elastic
ελαστικό,elastic
ελατήριο,spring
ελάττωμα,fault
ελαττώνω,reduce
ελάφι,deer
ελαφρύ,light
ελάχιστο,minimum
ελέγχω,I check
έλεος,mercy
ελεύθερο,free
ελιά,olive
έλικας,propeller
ελισσόμενο,adorable
έλκω,ulcerate
έλλειψη,lack of
έλος,swamp
ελπίζω,hope
εμβαδόν,area
έμβρυο,embryo
εμπιστεύομαι,I trust
εμποδίζω,prevent
εμπόδιο,obstacle
εμπόρευμα,merchandise
εμπόριο,trade
εμπρός,front
ένα,one
ένα,one
εναλλάσσω,alternate
ένδειξη,indication
ενδιαφέρον,interesting
ενέργεια,energy
ενήλικος,adult
ενθουσιασμός,excitement
εννέα,nine
ένορκοι,jury
ένοχο,guilty
έντερο,intestine
εντολή,mandate
έντομο,insect
εντοπίζω,locate
εντός,within
εντούτοις,Nevertheless
ενώνω,join
εξαντλώ,exhaust
εξάπτω,excite
εξαρτώμαι,depend
εξατμίζομαι,vapor
εξετάζω,to examine
εξήγηση,explanation
έξι,six
εξόγκωμα,bump
εξοχή,country
εξφενδονίζω,rave
εξωτερικό,abroad
επαναφέρω,restore
επαρχία,province
επαρχιακό,provincial
επειδή,because
επενδύω,invest
επερώτηση,questioning
επί,on
επιβραβεύω,reward
επιδεικνύω,flaunt
επιθυμώ,wish
επικοινωνία,Contact
επικρίνω,criticize
επίπεδο,level
επίπεδο,level
επιπλέω,float
έπιπλο,furniture
επιπρόσθετα,in addition to
επίσημο,official
επίσης,also
επισκέπτομαι,visit
επιστήμη,science
επιστρέφω,I return
επιτίθεμαι,lash out
επιταγή,check
επιτελώ,serve
επιτρέπω,allow
επιτροπή,commission
επιφάνεια,surface
επόμενο,Next
εποχή,time
επτά,seven
εργαλείο,tool
εργασία,work
έργο,work
έργο,work
έργο,work
έργο,work
εργοστάσιο,factory
έρημος,desert
ερπετό,reptilian
έρπω,sneak
έρχομαι,I am coming
ερωτηματικό,question mark
ερώτηση,Question
εσύ,you
εσωτερικό,interior
εταιρεία,company
ετικέττα,tag
έτοιμο,ready
έτος,year
ευγενικό,kindly
ευγνώμων,grateful
εύθραυστο,fragility
ευκαιρία,opportunity
εύκολο,easy
ευλογώ,bless
ευλύγιστο,flexibility
ευφυές,intelligence
ευχαρίστηση,pleasure
ευχάριστο,pleasability
ευχαριστώ,thanks
εφαρμοστό,server
εφευρίσκω,invent
εφημερίδα,newspaper
εχθρός,enemy
έχω,I have
ζάχαρη,sugar
ζελέ,jelly
ζέστη,heat
ζεστό,warm
ζήλεια,jealousy
ζήλος,zeal
ζητώ,ask
ζυγαριά,scale
ζυμαρικά,pasta
ζύμη,dough
ζωντανό,living
ζώ,live
ζώνη,zone
ζώο,animal
η,the
ή,the
ήδη,already
ηλεκτρισμός,electricity
ηλίθιο,stupid
ηλικία,age
ήλιος,sun
ηλιοτρόπιο,litmus
ημέρα,day
ημερομηνία,date
ηφαίστειο,volcano
ήχος,sound
θα,I will
θα,I will
θάλαμος,chamber
θάλασσα,sea
θάμνος,bush
θάρρος,courage
θαύμα,miracle
θαυμάζω,I admire
θαυμαστικό,exclamation mark
θαυμαστικό,exclamation mark
θέα,view
θεά,view
θέατρο,theater
θειάφι,sulfur
θέλω,I want
θέμα,theme
θεμέλιο,foundation
θεός,god
θεότητα,deity
θερίζω,mow
θερμοκρασία,temperature
θέση,position
θετικό,positive
θεωρία,theory
θεωρώ,consider
θήκη,case
θηλή,nipple
θηλαστικό,mammal
θηλειά,loop
θηλυκό,female
θόλος,blurred
θόρυβος,noise
θρησκεία,religion
θυμάμαι,I remember
θυμός,anger
θυμωμένο,angry
ιδιαίτερο,particular
ιδέα,idea
ιδεόγραμμα,ideogram
ίδιο,same
ιδιωτικό,private
ιδρώτας,sweat
ιερό,sanctuary
ιερογλυφικό,hieroglyphic
ικανοποίηση,satisfaction
ικανότητα,ability
ιός,virus
ίριδα,Iris
ίσιο,straight
ίσο,equal
ισορροπία,balance
ισοϋψές,equilibrium
ιστίο,sail
ιστορία,history
ισχυρισμός,claim
ισχύς,power
ίσως,maybe
καβαλάω,ride
καθαρό,clean
κάθε,each
κάθε,each
κάθομαι,I'm sitting
καθρέφτης,mirror
καθυστερώ,delay
και,and
καιρός,weather
καίω,burn
κακό,bad
καλάθι,basket
καλαμπόκι,corn
κάλιο,potassium
καλό,good
καλοκαίρι,summer
καλσόν,fabric
κάλτσα,sock
καλώ,call
καλώδιο,cable
καμινάδα,chimney
καμπάνα,bell
καμπύλη,curve
κανάλι,channel
κανόνας,rule
κανόνι,cannon
κανονικό,normal
κανονισμός,regulation
καντράν,dial
κάνω,I am doing
καπάκι,lid
καπέλο,hat
καπνός,Smoke
καπρίτσιο,caprice
κάρβουνο,coal
καρδιά,heart
καρέκλα,chair
καρότο,carrot
καρούλι,reel
καρπός,fruit
καρπούζι,watermelon
κάρρο,carrot
κάρτα,card
καρφί,nail
κασσίτερος,tin
κατά,against
κατά,against
καταιγίδα,storm
κατακόρυφο,vertical
καταλαβαίνω,I understand
κατάλληλο,suitable
καταναλώνω,consume
καταπίνω,swallow
κατάρα,curse
καταριέμαι,curse
κατασκήνωση,camp
κατασκευάζω,manufacture
κατάσταση,condition
κατάστημα,store
καταστρέφω,to ruin
καταστροφή,destruction
καταφύγιο,refuge
κατέχω,possess
κατηγορία,category
κατηγορώ,blame
κατοικώ,dwell
κατσαρίδα,cockroach
κατσαρόλα,pot
κατσίκα,goat
κάτω,below
κάτω,below
καύσιμο,fuel oil
καυτό,hot
καφέ,coffee
καφές,coffee
κείτομαι,sit
κέλυφος,shell
κενό,vacuum
κέντρο,centre
κέρατο,horn
κέρδος,profit
κερί,candle
κεφάλαιο,capital
κεφάλι,head
κήπος,garden
κιθάρα,guitar
κιμωλία,chalk
κίνδυνος,danger
κίτρινο,yellow
κλέβω,steal
κλαίω,I'm crying
κλαδί,branch
κλειδαριά,lock
κλειδί,key
κλείνω,close
κλειστό,closed
κλεψύδρα,hourglass
κλουβί,cage
κλωστή,thread
κλωτσάω,Kick
κόβω,cut
κοιλάδα,valley
κοιλία,belly
κοιλιά,belly
κοιμάμαι,sleep
κοινό,public
κοινό,public
κοινότητα,community
κόκκαλο,bone
κόκκινο,Red
κόλαση,hell
κολλάω,glue
κολοσσιαίο,colossal
κόλπο,trick
κολυμπάω,I swim
κόμβος,node
κόμμα,party
κομμάτι,piece
κονσέρβα,can
κοντά,close
κοντινό,close
κοντό,short
κοντό,short
κορδόνι,cord
κόρη,daughter
κόρη,daughter
κορίτσι,girl
κόρνα,horn
κορνίζα,Photo frame
κορυφή,peak
κόσμος,world
κοτόπουλο,chicken
κουβάς,bucket
κουβέρτα,blanket
κουδούνι,bell
κούκλα,doll
κουλτούρα,culture
κουμπί,button
κουνάω,wiggle
κουνέλι,rabbit
κουνούπι,mosquito
κουπί,paddle
κουπόνι,coupon
κουρασμένο,tired
κουρτίνα,curtain
κουτάλι,spoon
κουτί,box
κράνος,helmet
κρασί,wine
κρατάω,hold
κρατάω,hold
κρεβάτι,bed
κρεμάω,Hang
κρεμμύδι,onion
κρίνω,judge
κρύβω,to hide
κρύο,cold
κρύσταλλο,crystal
κρύσταλλος,crystal
κτητικό,possessive
κτίριο,building
κυβέρνηση,government
κύβος,cube
κύκλος,cycle
κύκλωμα,circuit
κυλάω,flow
κύλινδρος,Cylinder
κύμα,wave
κυνηγάω,chase
κύριο,main
κύριος,Mr
κώδικας,code
κωμικό,comic
κώνος,cone
λαβίδα,tongs
λαγός,hare
λάδι,oil
λαιμός,neck
λαμβάνω,receive
λάμπα,light bulb
λαμπρός,brilliant
λάμπω,shine
λανθασμένο,incorrect
λαός,people
λάσπη,mud
λάχανο,cabbage
λαχανικά,vegetables
λείο,smooth
λεκές,stain
λέξη,word
λεξικό,dictionary
λεξιλόγιο,vocabulary
λεπίδα,blade
λεπτομέρεια,detail
λεπτό,"minute, thin"
λεπτό,"minute, thin"
λεπτόρρευστο,slim
λέσχη,club
λεφτά,money
λέω,I say
λεωφορείο,bus
λιβάδι,Meadow
λίγα,few
λίγο,a little bit
λίγο,a little bit
λιγότερο,less
λιμάνι,port
λίμνη,Lake
λινάρι,flax
λιοντάρι,lion
λίπος,fat
λίστα,list
λογαριασμός,account
λογική,logic
λόγος,reason
λόγος,reason
λόγος,reason
λοξό,oblique
λουκάνικο,sausage
λουλούδι,flower
λουρί,strap
λόφος,hill
λυγισμένο,bent
λυκαυγές,twilight
λύκος,wolf
λυκόφως,twilight
λύπη,regret
λυπημένο,sad
λυώνω,thaw
λωρίδα,strip
μαγεία,magic
μαγειρεύω,I cook
μάγισσα,witch
μαγνήτης,magnet
μάγος,magician
μάγουλο,cheek
μάζα,mass
μαζεύω,gather
μαζί,together
μαθαίνω,I'm learning
μαϊμού,monkey
μακρύ,long
μακρυά,away
μακρυνό,farm
μαλακό,soft
μαλλί,hair
μαλλιά,hair
μανιτάρι,mushroom
μανταρίνι,mandarin
μαντεύω,guess
μαξιλάρι,pillow
μαρούλι,lettuce
μαστός,breast
μάτι,eye
ματς,match
μαύρο,black
μαχαίρι,knife
μαχαιρώνω,stab
με,with
μεγάλο,large
μεγαλώνω,grow up
μέγεθος,size
μέγιστο,maximum
μέθοδος,method
μειονότητα,minority
μελαγχολία,melancholy
μελάνη,ink
μελετάω,study
μέλι,honey
μέλισσα,bee
μέλλον,future
μέλλοντας,future tense
μέλος,member
μέντα,mint
μεντεσές,hinge
μένω,stay
μερίδα,share
μερόνυχτο,day and night
μέρος,part
μέσα,inside
μέσα,inside
μεσάνυχτα,midnight
μέση,waist
μεσημέρι,noon
μέσο,means
μετά,after
μετά,after
μεταβάλλω,change
μεταθέτω,transfer
μετακινώ,move
μετάλλευμα,ore
μέταλλο,metal
μετανοιώνω,regret
μετάξι,silk
μεταφέρω,carry over
μετράω,count
μετριόφρον,lighter
μέτωπο,forehead
μηδέν,zero
μήκος,length
μήλο,apple
μήνας,month
μήνυμα,message
μητέρα,mother
μηχανή,machine
μικρό,small
μικροσκοπικό,microscopic
μικροσκόπιο,microscope
μιλάω,I talk
μιμούμαι,ape
μισό,a half
μισώ,I hate
μνημονεύω,mention
μόδα,fashion
μόλυβδος,lead
μολύβι,pencil
μολύνω,contaminate
μοναχικό,lonely
μόνιμο,permanent
μόνο,only
μόριο,molecule
μοτέρ,motor
μοτοσυκλέτα,motorcycle
μουσική,music
μουστάρδα,mustard
μοχλός,lever
μπαίνω,enter
μπάλλα,bale
μπαλόνι,balloon
μπάλωμα,patch
μπαμπού,bamboo
μπανάνα,banana
μπαρ,bar
μπάρα,bar
μπάσκετ,basketball
μπαχαρικό,spice
μπέιζμπολ,baseball
μπιζέλι,pea
μπιλιάρδο,pool table
μπίρα,beer
μπλέ,blue
μπογιά,paint
μπορώ,can
μπουκάλι,bottle
μπουμπούκι,bud
μπουτίκ,boutique
μπράτσο,arm
μπροστά,in front
μπρούντζος,bronze
μπωλ,bowl
μυαλό,mind
μύγα,fly
μυθιστόρημα,novel
μύλος,mill
μυρμήγκι,ant
μυρωδιά,smell
μυς,muscle
μυστήριο,mystery
μυστικό,secret
μύτη,nose
μωβ,purple
μωρό,baby
ναι,Yes
νάτριο,sodium
νέα,news
νέο,new
νέον,neon
νεαρό,young man
νεκρό,dead
νεράιδα,fairy
νερό,water
νεύρο,nerve
νεφρίτης,jade
νεφρό,kidney
νησί,island
νόημα,meaning
νόμισμα,coin
νόμος,law
νομός,law
νοσοκομείο,hospital
νότος,south
νους,mind
ντομάτα,tomato
ντους,shower
ντροπή,shame
νύχι,nail
νύχτα,night
ξαφνιάζω,surprise
ξαφνικό,sudden
ξενοδοχείο,hotel
ξερνάω,puke
ξερό,diligent
ξέρω,I know
ξεφεύγω,get away
ξεχνάω,I forget
ξεχύνομαι,sluice out
ξεχωρίζω,stand out
ξηρός,dry
ξύδι,vinegar
ξύλο,wood
ξυνό,sour
ξύνω,scratch
ξυπνητό,awakening
ξυράφι,razor blade
ξυρίζω,shave
ο,The
οβάλ,oval
οδηγώ,I'm driving
οδός,street
οικογένεια,family
οικονόμο,Economist
οικονόμος,housekeeper
οκτώ,eight
όλο,all
ολόκληρο,the whole
ομάδα,club
ομίχλη,fog
όμορφο,beautiful
ομπρέλλα,umbrella
ομφαλός,navel
όνειρο,dream
όνομα,name
όξινο,acidine
οξύ,acid
οξύ,acid
οξυγόνο,oxygen
όπλο,weapon
οργανισμός,organization
όργανο,organ
οργανώνω,organize
οργάνωση,organization
ορθογώνιο,rectangle
οριζόντιο,horizontal
όριο,limit
όρμος,bay
όρος,term
όρος,term
οσμή,odor
οτι,that
ότι,that
ουδέτερο,neutral
ουρά,tail
ουράνιο,uranium
ουρανός,heaven
όφις,dwarf
όχημα,vehicle
όχι,no
όψη,view
πάγος,ice
παγίδα,trap
παγωμένο,frozen
παγώνω,ice
παθητική,passive
παιδί,child
παίζω,I am playing
παινεύω,praise
παίρνω,I get
παιχνίδι,game
παλάμη,palm
παλεύω,fight
πάλι,again
παλίρροια,tide
παλιό,old
παλτό,coat
πανί,cloth
πανεπιστήμιο,university
πανηγυρίζω,celebrate
πάντα,always
παντελόνι,trousers
πάνω,over
πάνω,over
πανωφόρι,coat
παπάς,priest
παπούτσι,shoe
παράδειγμα,example
παράδεισος,paradise
παραδέχομαι,I admit
παράδοση,tradition
παράθυρο,window
παραιτούμαι,I quit
παράλληλο,parallel
παράξενο,strangeness
παρακείμενος,adjacent
παρατατικός,past continuous
παρατηρώ,notice
παρελθόν,past
παρεμποδίζω,block
πάρκο,park
παρόμοιο,similar
παρόν,present
παρόν,present
πατάκι,plate
πατάτα,potato
πατάω,press
πατέρας,father
πάτος,bottom
πάτωμα,floor
πάχος,thickness
παχουλό,plump
παχύ,thick
παχύρρευστο,thickness
πεθαίνω,pass away
πείραμα,experiment
πειρασμός,temptation
πέντε,five
πέπλο,veil
πεπόνι,melon
πέρα,beyond
περηφάνεια,pride
περιβάλλον,environment
περιγράφω,describe
περιέχω,contain
περικάρπιο,wrist band
περιμένω,I am waiting
περιοδικό,magazine
περιοδικό,magazine
περίοδος,period
περιορίζω,restrict
περιοχή,area
περιπλανούμαι,wander
περισσότερο,more
περπατάω,I walk
πεταλούδα,butterfly
πετάω,fly
πέτρα,stone
πετράδι,jewel
πετρέλαιο,oil
πετσέτα,towel
πετυχαίνω,succeed
πεύκο,Pine
πηγαίνω,I am going
πηγή,source
πηγούνι,chin
πηδάλιο,rudder
πηδάω,jump
πηλός,clay
πηνίο,coil
πηρούνι,fork
πιάνο,piano
πιάνω,grip
πιάτο,plate
πιέζω,Press down
πιθανό,possible
πιθανώς,probably
πίθηκος,monkey
πικρό,bitter
πίνω,drink
πιο,more
πιπέρι,pepper
πιπεριά,pepper
πιπερόρριζα,pepper
πίσσα,tar
πιστεύω,believe
πιστό,loyal
πίστωση,credit
πίσω,back
πίσω,back
πίσω,back
πίτσα,pizza
πλάγιο,sideline
πλανήτης,planet
πλαστικό,plastic
πλάτη,back
πλάτος,width
πλατύ,wide
πλειοψηφία,majority
πλένω,wash
πλευρά,side
πληγή,wound
πληγώνω,hurt
πλημμύρα,flood
πληροφορία,information
πληρώνω,I pay
πλοίο,ship
πλούσιο,rich
πνεύμα,spirit
πνεύμονας,lung
πνίγω,choke
ποδήλατο,bike
πόδι,foot
ποδιά,legs
ποδόσφαιρο,football
ποίημα,poem
πόλεμος,war
πόλη,city
πολικότητα,polarity
πολιτεία,state
πολιτική,policy
πολιτισμός,civilization
πολλά,many
πολλαπλασιάζω,multiply
πολύ,very
πολύ,very
πολύπλοκο,complicated
πόνος,pain
ποντίκι,biceps
πορεία,course
πόρτα,door
πορτοκάλι,Orange
πορτοκαλί,Orange
ποσότητα,quantity
ποτάμι,river
πότε,never
ποτέ,never
που,where
πού,where
πουκάμισο,shirt
πουλάω,sell out
πουλί,bird
πραγματικό,real
πρακτορείο,agency
πράξη,act
πράσινο,Green
πρέσβυς,ambassador
πρήξιμο,swelling
πριν,before
πριν,before
πριόνι,saw
πρόβατο,sheep
προβλέπω,forecast
πρόγραμμα,program
πρόεδρος,chairman
προειδοποιώ,warn
προέλευση,origin
προηγούμενο,precedent
προκαλώ,challenge
πρόοδος,progress
προορισμός,destination
προς,to
προς,to
προσβολή,attack
προσεύχομαι,I pray
προσθέτω,add
προσκαλώ,invite
προσοχή,caution
προσποιούμαι,pretend
προστατεύω,protect
πρόσφατα,recently
πρόσφατο,recent
προσφέρω,I offer
προσφιλές,beloved
προσφορά,special offer
πρόσωπο,face
προσωρινό,temporary
πρόταση,proposal
προτείνω,I suggest
προτίθεμαι,intend
προτιμώ,I prefer
προτού,before
πρωθυπουργός,Prime Minister
πρωί,morning
πρωτότυπο,prototype
πρώιμο,early
πυκνό,thickness
πυκνότητα,density
πυραμίδα,pyramid
πυρετός,fever
πύραυλος,missile
πύργος,tower
πως,how
πώς,how
ράβω,sew
ραδιόφωνο,radio
ρακέττα,racket
ράφι,shelf
ραχοκοκκαλιά,backbone
ρέω,flow
ρηχό,shallow
ρίζα,root
ρολόι,clock
ρόλος,role
ρόπαλο,bat
ρουφάω,suck
ρούχο,garment
ρύζι,rice
ρυθμός,rhythm
ρυτίδα,wrinkle
ρωτάω,ask
σάκος,bag
σαλάτα,salad
σαν,like
σανίδα,plank
σάντουϊτς,sandwich
σαπίζω,rot
σαπούνι,soap
σάρκα,flesh
σαφές,clear
σαύρα,lizard
σβήνω,turn off
σέβομαι,respect
σειρά,series
σεισμός,earthquake
σελίδα,page
σεντόνι,bed sheet
σεξ,sex
σήμα,signal
σημάδι,mark
σημαία,flag
σημαντικό,important
σημείωση,note
σήμερα,today
σιγά,slowly
σιγανό,quite
σίδερο,iron
σιδηρόδρομος,railroad
σίτα,window net
σιτάρι,wheat
σιφώνι,shit
σιωπηλό,silent
σκίζω,rip
σκίουρος,squirrel
σκάβω,dig
σκάκι,chess
σκάλα,staircase
σκαρφαλώνω,climb
σκελετός,skeleton
σκέφτομαι,I'm thinking
σκέψη,thought
σκι,ski
σκιά,shadow
σκλάβα,slave
σκληρό,hard
σκόνη,powder
σκορ,score
σκόρδο,garlic
σκορπίζω,scatter
σκοτεινό,dark
σκοτώνω,kill
σκουλήκι,worm
σκούπα,broom
σκουπίδι,rubbish
σκουπίζω,wipe
σκουριά,rust
σκύλος,dog
σμπρώχνω,compile
σοβαρό,serious
σόγια,soy
σοκολάτα,chocolate
σούπα,soup
σουσάμι,Sesame
σοφία,Sophia
σοφίτα,attic
σοφό,wise
σπάζω,break
σπαθί,sword
σπανάκι,spinach
σπάνια,rarely
σπείρα,spiral
σπηλιά,cave
σπηρούνι,spin
σπίρτο,match
σπίτι,home
σπυρί,pimple
σπόρος,seed
στήθος,bosom
σταγόνα,drop
σταδιακό,gradual
σταθερό,Stable
σταθμός,station
σταματάω,stop
σταυρός,Stavros
σταφύλι,grape
στάχτη,ascendant
στέγη,roof
στέκομαι,stand
στέλνω,I send
στεναχώρια,sadness
στενό,narrow
